Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
3.6159949007746166e-06,0.74,0.12,0.74,0.0,0.0
3.423998508507224e-06,0.75,0.12,0.75,0.0,0.0
3.6800037899125272e-06,0.73,0.13,0.73,0.01,0.0
4.767999633225624e-06,0.63,0.14,0.63,0.02,0.0
4.83199512548284e-06,0.89,0.31,0.89,0.07,0.0
3.5839972623443955e-06,0.75,0.12,0.75,0.0,0.0
3.4880014982175045e-06,0.75,0.15,0.75,0.01,0.0
4.032001792209084e-06,0.65,0.13,0.65,0.01,0.0
5.440004259509384e-06,0.57,0.15,0.57,0.01,0.0
5.887997375596237e-06,1.04,0.41,1.04,0.06,0.0
3.3920007471899524e-06,0.76,0.12,0.76,0.0,0.0
3.648003314549757e-06,0.72,0.13,0.72,0.01,0.0
5.34399580470953e-06,0.58,0.13,0.58,0.01,0.0
5.856001457731105e-06,0.74,0.24,0.74,0.03,0.0
5.888002919773362e-06,1.66,0.74,1.93,0.12,0.0
3.424000371261833e-06,0.75,0.13,0.75,0.01,0.0
4.352002752330533e-06,0.65,0.13,0.65,0.01,0.0
5.631998972641931e-06,0.58,0.15,0.58,0.01,0.0
5.856000000013502e-06,1.05,0.41,1.05,0.06,0.0
6.112003668729553e-06,2.83,1.36,3.76,0.23,0.0
3.647997753886013e-06,0.72,0.13,0.72,0.01,0.0
5.215997475935713e-06,0.55,0.12,0.55,0.01,0.0
5.952002603578472e-06,0.75,0.24,0.75,0.03,0.0
6.015997443330497e-06,1.62,0.72,1.9,0.12,0.0
6.048004602388742e-06,5.05,2.59,7.18,0.45,0.0
3.615997629787202e-06,0.75,0.12,0.75,0.0,0.0
3.6799999999966186e-06,0.74,0.12,0.74,0.01,0.0
4.224004221047429e-06,0.66,0.13,0.66,0.01,0.0
5.664003369204851e-06,0.61,0.16,0.61,0.02,0.0
5.792001458304935e-06,1.07,0.41,1.07,0.06,0.0
3.680000404495892e-06,0.76,0.12,0.76,0.0,0.0
3.648001121283905e-06,0.72,0.13,0.72,0.01,0.0
5.344000381702212e-06,0.58,0.12,0.58,0.01,0.0
5.919995445121273e-06,0.72,0.22,0.72,0.03,0.0
5.856002111060888e-06,1.61,0.71,1.88,0.12,0.0
3.4559988796791822e-06,0.76,0.16,0.76,0.01,0.0
4.095997412208088e-06,0.65,0.13,0.65,0.01,0.0
5.535999634816147e-06,0.62,0.16,0.62,0.02,0.0
5.759995474550858e-06,1.02,0.39,1.02,0.06,0.0
6.016004096744375e-06,2.67,1.29,3.57,0.22,0.0
3.6479981223470927e-06,0.72,0.13,0.72,0.01,0.0
5.024003410562626e-06,0.53,0.12,0.53,0.01,0.0
5.887998166152652e-06,0.75,0.23,0.75,0.03,0.0
5.952002899612918e-06,1.64,0.73,1.88,0.12,0.0
6.175997492684803e-06,4.99,2.59,7.05,0.45,0.0
4.064002447776864e-06,0.63,0.12,0.63,0.01,0.0
5.727996424406145e-06,0.57,0.15,0.57,0.01,0.0
5.855999249393198e-06,1.04,0.41,1.04,0.06,0.0
6.079996319101435e-06,2.8,1.38,3.63,0.23,0.0
7.040001507580927e-06,8.7,4.74,12.6,0.82,0.0
3.776001847853836e-06,0.68,0.11,0.68,0.0,0.0
3.936000373744852e-06,0.68,0.12,0.68,0.01,0.0
5.952001052071922e-06,0.47,0.1,0.47,0.01,0.0
5.631998913437041e-06,0.74,0.24,0.74,0.03,0.0
5.952003575859322e-06,1.53,0.71,1.66,0.12,0.0
3.5199965959147352e-06,0.74,0.13,0.74,0.01,0.0
4.127998881872103e-06,0.65,0.13,0.65,0.01,0.0
5.664003543644024e-06,0.58,0.15,0.58,0.02,0.0
5.728001774093629e-06,0.98,0.4,0.98,0.06,0.0
6.176001402363552e-06,2.58,1.29,3.33,0.22,0.0
3.7120025473585865e-06,0.69,0.12,0.69,0.01,0.0
5.023996418005044e-06,0.57,0.12,0.57,0.01,0.0
5.72800073054721e-06,0.75,0.24,0.75,0.03,0.0
5.792001707661087e-06,1.53,0.7,1.74,0.11,0.0
6.047999299178705e-06,4.98,2.58,6.8,0.44,0.0
4.223998159406934e-06,0.63,0.12,0.63,0.01,0.0
5.951997508509809e-06,0.56,0.15,0.56,0.01,0.0
5.696004373570393e-06,0.96,0.38,0.96,0.06,0.0
5.983995261820039e-06,2.85,1.39,3.71,0.23,0.0
6.496000349718484e-06,8.81,4.77,12.54,0.83,0.0
5.568000702735297e-06,0.52,0.11,0.52,0.01,0.0
5.951999637525692e-06,0.69,0.23,0.69,0.03,0.0
5.888004027251421e-06,1.69,0.74,2.17,0.12,0.0
6.3359957717270296e-06,4.72,2.51,6.79,0.43,0.0
7.392000699491048e-06,14.85,8.39,21.03,1.45,0.0
3.4239962626693707e-06,0.76,0.13,0.76,0.01,0.0
4.0960020932947125e-06,0.61,0.12,0.61,0.01,0.0
5.503998939695358e-06,0.61,0.16,0.61,0.02,0.0
5.85599927377468e-06,1.02,0.4,1.02,0.06,0.0
5.984000000021421e-06,2.79,1.34,3.69,0.23,0.0
3.872001589888612e-06,0.73,0.13,0.73,0.01,0.0
5.183998532809017e-06,0.56,0.12,0.56,0.01,0.0
5.951996167434761e-06,0.69,0.22,0.69,0.03,0.0
5.7920017743075175e-06,1.64,0.73,1.92,0.12,0.0
5.951998626727165e-06,4.97,2.56,7.06,0.44,0.0
4.159995089368948e-06,0.66,0.13,0.66,0.01,0.0
5.919998893861824e-06,0.59,0.15,0.59,0.01,0.0
5.887999250534889e-06,1.01,0.41,1.01,0.06,0.0
6.016002521808622e-06,2.79,1.37,3.61,0.23,0.0
6.816004841656137e-06,8.97,4.83,12.78,0.84,0.0
5.791997102544786e-06,0.51,0.11,0.51,0.01,0.0
5.7599989640734e-06,0.7,0.23,0.7,0.03,0.0
5.856003205416833e-06,1.66,0.72,2.11,0.12,0.0
6.367998206573364e-06,4.86,2.53,6.86,0.43,0.0
7.327998601150219e-06,15.04,8.47,21.25,1.47,0.0
6.047996851903924e-06,0.54,0.14,0.54,0.01,0.0
5.631999663014242e-06,1.01,0.39,1.01,0.06,0.0
6.0160029320125705e-06,2.77,1.38,3.65,0.23,0.0
6.75200253686274e-06,8.7,4.78,12.39,0.82,0.0
1.0079995909576825e-05,20.69,12.07,28.53,2.08,0.0
3.903998892467268e-06,0.68,0.12,0.68,0.01,0.0
5.728003135628893e-06,0.49,0.11,0.49,0.01,0.0
5.791995711377429e-06,0.74,0.23,0.74,0.03,0.0
5.855998581975511e-06,1.66,0.74,2.01,0.12,0.0
6.079998928993442e-06,5.02,2.6,6.98,0.45,0.0
4.703998109295112e-06,0.6,0.11,0.6,0.01,0.0
6.048000358989027e-06,0.55,0.14,0.55,0.01,0.0
5.792004258026733e-06,1.06,0.4,1.14,0.06,0.0
6.144003132641784e-06,2.57,1.29,3.33,0.22,0.0
6.399996569030455e-06,8.65,4.75,12.38,0.82,0.0
5.18399629573436e-06,0.56,0.13,0.56,0.01,0.0
5.503996733494294e-06,0.7,0.22,0.7,0.03,0.0
5.9519992797240365e-06,1.54,0.72,1.68,0.12,0.0
6.207997110770144e-06,4.91,2.61,6.87,0.45,0.0
7.424003522079646e-06,14.89,8.41,20.94,1.46,0.0
5.663995614029807e-06,0.56,0.14,0.56,0.01,0.0
5.759999999974951e-06,0.99,0.41,0.99,0.06,0.0
6.239997531853585e-06,2.65,1.28,3.54,0.22,0.0
6.592003218967018e-06,8.79,4.83,12.61,0.83,0.0
9.919999323884574e-06,20.84,12.15,28.8,2.09,0.0
5.952002189398559e-06,0.71,0.23,0.71,0.03,0.0
5.888003198504408e-06,1.59,0.72,1.87,0.12,0.0
6.112004706471244e-06,4.96,2.67,6.89,0.45,0.0
7.423995784397398e-06,14.94,8.4,20.99,1.45,0.0
1.3791998333107454e-05,28.94,17.25,40.18,2.97,0.0
