cin,Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
32,7.96800449435498e-06,14.08,8.53,20.73,1.44,0.0
32,1.3439997095056424e-05,19.27,11.78,29.93,3.04,0.0
32,1.427199656083135e-05,28.53,17.21,40.54,2.96,0.0
32,3.75039975391538e-05,38.66,26.61,52.73,4.27,0.0
32,4.262400169948608e-05,37.06,22.69,51.58,3.92,0.0
32,0.0001062080036266,35.31,20.17,46.66,4.2,0.0
32,0.0001585919960896,46.39,23.31,52.91,4.04,0.0
48,8.8320018723427e-06,18.89,11.77,27.05,1.95,0.0
48,1.635200250481885e-05,23.86,14.37,38.14,3.7,0.0
48,1.852800347694878e-05,32.89,20.09,45.46,3.46,0.0
48,5.414399663828868e-05,38.35,26.43,52.6,4.24,0.0
48,6.188799597721742e-05,37.84,23.09,52.57,3.99,0.0
48,0.0001568000006518,38.67,20.26,46.85,4.22,0.0
48,0.0002367999977213,48.69,23.4,53.28,4.05,0.0
64,1.1647998411817756e-05,20.15,12.64,29.07,2.09,0.0
64,1.967999546075524e-05,25.8,15.55,40.23,4.0,0.0
64,2.2848003137502487e-05,35.63,21.77,49.38,3.75,0.0
64,7.1488003651958e-05,38.2,26.37,52.79,4.23,0.0
64,8.060799670463484e-05,39.75,23.21,52.52,4.02,0.0
64,0.0002081919957754,40.21,20.27,46.72,4.22,0.0
64,0.0003116800038899,50.1,23.59,53.68,4.09,0.0
96,1.2319999648614342e-05,25.29,15.85,35.67,2.63,0.0
96,2.6592004183240613e-05,28.25,17.26,44.57,4.43,0.0
96,3.292800240441037e-05,36.6,22.29,50.67,3.85,0.0
96,0.0001048959970399,38.67,26.69,53.22,4.29,0.0
96,0.0001196159960527,44.27,23.39,53.09,4.06,0.0
96,0.0003100799999999,41.89,20.26,47.05,4.22,0.0
96,0.0004646719977417,51.28,23.63,53.48,4.1,0.0
128,1.4495999640402023e-05,29.32,18.43,40.88,3.05,0.0
128,3.4496003483600937e-05,28.77,17.78,45.87,4.55,0.0
128,4.288000033967194e-05,36.91,22.53,51.32,3.89,0.0
128,0.0001400000042391,38.26,26.43,52.72,4.24,0.0
128,0.0001587519993484,46.3,23.28,52.88,4.04,0.0
128,0.0004116160029068,42.88,20.38,47.03,4.24,0.0
128,0.0006219839987092,51.65,23.54,53.43,4.08,0.0
256,2.2783999306664465e-05,35.46,22.65,49.38,3.74,0.0
256,6.470400166681502e-05,30.29,18.14,47.88,4.64,0.0
256,8.070400298376988e-05,39.96,23.31,52.79,4.04,0.0
256,0.0002752960042129,38.66,26.72,53.65,4.29,0.0
256,0.0003104640003235,50.26,23.65,53.67,4.1,0.0
256,0.0008205119964522,44.15,20.4,47.1,4.25,0.0
256,0.001237408000965,52.61,23.62,53.61,4.1,0.0
512,4.287999557393028e-05,36.95,23.49,51.13,3.9,0.0
512,0.0001250879990152,31.05,18.48,49.01,4.73,0.0
512,0.0001583679957699,46.3,23.3,52.91,4.04,0.0
512,0.0005466560022589,38.75,26.79,53.71,4.3,0.0
512,0.0006201919967762,51.73,23.57,53.43,4.09,0.0
512,0.0016372479961357,44.79,20.41,47.17,4.25,0.0
512,0.0024555839961356,53.38,23.77,53.9,4.12,0.0
