cin,ih,Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
32,8,7.96800449435498e-06,14.08,8.53,20.73,1.44,0.0
32,12,1.3439997095056424e-05,19.27,11.78,29.93,3.04,0.0
32,16,1.427199656083135e-05,28.53,17.21,40.54,2.96,0.0
32,25,3.75039975391538e-05,38.66,26.61,52.73,4.27,0.0
32,32,4.262400169948608e-05,37.06,22.69,51.58,3.92,0.0
32,48,0.0001062080036266,35.31,20.17,46.66,4.2,0.0
32,64,0.0001585919960896,46.39,23.31,52.91,4.04,0.0
64,8,1.1647998411817756e-05,20.15,12.64,29.07,2.09,0.0
64,12,1.967999546075524e-05,25.8,15.55,40.23,4.0,0.0
64,16,2.2848003137502487e-05,35.63,21.77,49.38,3.75,0.0
64,25,7.1488003651958e-05,38.2,26.37,52.79,4.23,0.0
64,32,8.060799670463484e-05,39.75,23.21,52.52,4.02,0.0
64,48,0.0002081919957754,40.21,20.27,46.72,4.22,0.0
64,64,0.0003116800038899,50.1,23.59,53.68,4.09,0.0
128,8,1.4495999640402023e-05,29.32,18.43,40.88,3.05,0.0
128,12,3.4496003483600937e-05,28.77,17.78,45.87,4.55,0.0
128,16,4.288000033967194e-05,36.91,22.53,51.32,3.89,0.0
128,25,0.0001400000042391,38.26,26.43,52.72,4.24,0.0
128,32,0.0001587519993484,46.3,23.28,52.88,4.04,0.0
128,48,0.0004116160029068,42.88,20.38,47.03,4.24,0.0
128,64,0.0006219839987092,51.65,23.54,53.43,4.08,0.0
256,8,2.2783999306664465e-05,35.46,22.65,49.38,3.74,0.0
256,12,6.470400166681502e-05,30.29,18.14,47.88,4.64,0.0
256,16,8.070400298376988e-05,39.96,23.31,52.79,4.04,0.0
256,25,0.0002752960042129,38.66,26.72,53.65,4.29,0.0
256,32,0.0003104640003235,50.26,23.65,53.67,4.1,0.0
256,48,0.0008205119964522,44.15,20.4,47.1,4.25,0.0
256,64,0.001237408000965,52.61,23.62,53.61,4.1,0.0
512,8,4.287999557393028e-05,36.95,23.49,51.13,3.9,0.0
512,12,0.0001250879990152,31.05,18.48,49.01,4.73,0.0
512,16,0.0001583679957699,46.3,23.3,52.91,4.04,0.0
512,25,0.0005466560022589,38.75,26.79,53.71,4.3,0.0
512,32,0.0006201919967762,51.73,23.57,53.43,4.09,0.0
512,48,0.0016372479961357,44.79,20.41,47.17,4.25,0.0
512,64,0.0024555839961356,53.38,23.77,53.9,4.12,0.0
